Toss,Bat,Venue,RelativeRunsPerInn,RelativeAve,RelativeSR,RelAvgEcon,RelBowlAvAverage,RelAvgWkPerInn,RelBowlAvgSR,RelAvgCatch,RelAvg100,Rel4WkHauls,RelBatAvg,Result
0,1,1,1.7789778,7.47627273,3.33727273,0.244642857,19.02375,-0.287765451,17.92857143,-0.027164268,-0.019672173,-9,0.8441944,0
0,1,1,-0.18475112,3.84509091,0.31545455,-0.122361111,6.58208333,-0.147085737,7.99166667,-0.044948262,-0.020107406,-23,-0.43426698,1
1,1,1,5.62891235,4.10209091,-3.16063636,1.163222222,4.58666667,-0.198538966,1.4,0.069229167,0.017828472,-4,1.96038401,1
0,2,1,3.85153124,4.74227273,0.57863636,1.018181818,6.13944444,-0.131799511,4.18,0.068765376,0.004341137,-4,-0.2815281,1
0,2,1,0.77556019,1.01481818,-0.40472727,0.977045455,6.225,0.017168313,2.02428571,-0.003196623,-0.003829284,-5,-0.05859,1
1,1,1,-0.25545451,4.901,0.85990909,0.743636364,5.962,-0.006639341,3.89571429,0.00311324,0.00228599,-4,1.09832,0
1,1,1,0.93869338,7.95072727,1.77454545,1.012045455,5.98925,-0.115564512,3.6425,-0.014140492,0.001474499,-6,-0.77223,1
0,1,1,6.42549825,8.56727273,11.42545454,0.067954545,13.10071429,-0.143294758,11.38571429,0.020507175,-0.010942231,-5,1.4170555,0
0,2,1,2.84553333,5.49390909,7.27818182,1.049318182,6.3525,-0.366524381,5.84,-0.164382406,0.000225491,-16,1.29746309,0
0,2,1,0.86091515,3.75518182,3.56272727,1.118409091,2.54075,-0.198878838,0.77,-0.217804821,0.01486235,-6,1.11680306,0
0,2,1,-1.58754642,2.69690909,-0.17909091,1.2925,14.23375,-0.440774019,12.05,-0.168345962,0.014245547,0,1.27479,1
1,2,1,-1.58183536,-1.28303031,-7.45509091,1.223636364,7.34766667,-0.37866077,6.19666667,-0.092289131,0.01445102,0,1.66334,0
1,1,0,11.3654623,10.74563636,10.70709091,1.421944444,14.36,-0.273981788,9.175,-0.002561009,0.017426304,0,4.280768873,1
1,1,0,6.70465287,8.429,1.41536364,1.03775,19.13,-0.148253521,14.28611111,-0.025804745,0.030222223,-9,2.775683032,1
1,2,0,4.25443239,5.922,0.99781818,1.413,21.23347222,-0.451499776,16.43333333,-0.045599974,0.019936108,-9,2.00260289,0
1,2,0,2.57100563,7.66676767,0.35818181,1.055142857,7.41920635,-0.231576226,5.99206349,-0.072542364,0.038635362,-8,2.45363831,1
1,2,0,2.96500193,7.28161616,4.58545454,1.344333333,13.96444444,-0.360249203,10.52777778,-0.074900357,0.009170927,-3,3.082357441,1
0,1,0,1.49521411,2.49463636,1.61245455,0.83775,1.41680556,-0.056375733,0.94166667,-0.007185861,0.028031867,-2,1.37555589,1
0,2,0,2.04594988,2.32654545,-1.34690909,0.498333333,-6.3475,0.380498044,-7.18392857,0.038552089,0.019798968,1,0.70228096,1
0,2,0,-0.75881384,0.53727273,-4.07454545,1.069861111,1.71625,-0.068061318,0.4,0.009854664,0.035584906,-3,0.07747321,1
0,2,0,-1.01162061,0.50236364,-3.46818181,1.005416667,11.13,-0.051407839,11.0625,0.004686583,-0.001117774,-3,0.05813152,1
1,1,0,-0.59557207,0.222,-10.17,1.125972222,14.5775,-0.164918186,12.475,0.005251989,-0.001864688,-4,-0.172937,1
0,1,1,-2.400256,0.45654545,-22.48818455,0.277222222,14.51263889,-0.146065506,12.17222222,-0.006754194,-0.020077727,-2,-0.54339963,0
0,1,1,2.61703509,4.68272727,7.18909091,0.1475,-0.65,-0.201668185,-0.425,0.008310518,-0.015717467,-18,1.58015247,0
